Date,Field Name,Point A Average,Variety,Name,Latitude,Longitude,Icon,Iconscale,IconLineColor,Timebegin,timeend
10/9/14 15:00,AKE A,23,,23," 36¡ 8'35.31""N","119¡22'27.07""W",175,1.5,Orange,10/9/14,10/16/14
8/18/14 17:00,AKE A,19,,19," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,8/18/14,8/25/14
8/11/14 17:00,AKE A,17,,17," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,8/11/14,8/18/14
8/5/14 14:00,AKE A,19,,19," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,8/5/14,8/12/14
7/29/14 16:15,AKE A,16,,16," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,7/29/14,8/5/14
7/21/14 16:40,AKE A,16,,16," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,7/21/14,7/28/14
7/15/14 13:40,AKE A,18,,18," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,7/15/14,7/22/14
7/8/14 16:40,AKE A,21,,21," 36¡ 8'35.31""N","119¡22'27.07""W",175,1.5,Orange,7/8/14,7/15/14
6/30/14 15:30,AKE A,21,,21," 36¡ 8'35.31""N","119¡22'27.07""W",175,1.5,Orange,6/30/14,7/7/14
6/16/14 16:00,AKE A,19,,19," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,6/16/14,6/23/14
6/9/14 15:15,AKE A,18,,18," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,6/9/14,6/16/14
5/27/14 16:15,AKE A,16,,16," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,5/27/14,6/3/14
5/16/14 13:30,AKE A,17,,17," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,5/16/14,5/23/14
5/9/14 14:15,AKE A,14,,14," 36¡ 8'35.31""N","119¡22'27.07""W",155,0.5,green,5/9/14,5/16/14
5/7/14 12:30,AKE A,16,,16," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,5/7/14,5/14/14
4/30/14 15:45,AKE A,22,,22," 36¡ 8'35.31""N","119¡22'27.07""W",175,1.5,Orange,4/30/14,5/7/14
10/9/14 14:00,AKE B,20,,20," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,10/9/14,10/16/14
9/9/14 16:00,AKE B,21,,21," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,9/9/14,9/16/14
9/1/14 16:00,AKE B,22,,22," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,9/1/14,9/8/14
8/25/14 16:00,AKE B,21,,21," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,8/25/14,9/1/14
8/18/14 16:00,AKE B,17,,17," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,8/18/14,8/25/14
8/11/14 16:00,AKE B,17,,17," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,8/11/14,8/18/14
7/29/14 15:30,AKE B,18,,18," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,7/29/14,8/5/14
7/21/14 16:00,AKE B,16,,16," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,7/21/14,7/28/14
7/15/14 13:10,AKE B,21,,21," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,7/15/14,7/22/14
7/8/14 16:00,AKE B,17,,17," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,7/8/14,7/15/14
6/30/14 15:00,AKE B,25,,25," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,6/30/14,7/7/14
6/24/14 14:45,AKE B,19,,19," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,6/24/14,7/1/14
6/16/14 15:20,AKE B,20,,20," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,6/16/14,6/23/14
6/9/14 14:30,AKE B,20,,20," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,6/9/14,6/16/14
6/2/14 15:45,AKE B,23,,23," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,6/2/14,6/9/14
5/27/14 15:30,AKE B,24,,24," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,5/27/14,6/3/14
5/16/14 14:30,AKE B,21,,21," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,5/16/14,5/23/14
5/10/14 13:30,AKE B,12,,12," 36¡ 8'35.28""N","119¡22'57.89""W",155,0.5,green,5/10/14,5/17/14
4/30/14 14:50,AKE B,25,,25," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,4/30/14,5/7/14
