Date,Field Name,PB Value,Latitude,Longitude,Icon,Iconscale,IconLineColor,Timebegin,timeend
10/9/14 15:00,AKE A,23," 36¡ 8'35.31""N","119¡22'27.07""W",175,1.5,Orange,10/9/14,10/16/14
10/9/14 14:00,AKE B,20," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,10/9/14,10/16/14
10/9/14 13:00,AKE C1 & C2,17," 36¡ 9'4.67""N","119¡23'30.80""W",160,1,yellow,10/9/14,10/16/14
10/6/14 15:30,Drummond C & D,22," 36¡16'6.72""N","119¡33'52.17""W",175,1.5,Orange,10/6/14,10/13/14
10/3/14 15:20,Drummond E,16," 36¡15'38.58""N","119¡34'0.82""W",160,1,yellow,10/3/14,10/10/14
10/3/14 15:00,Drummond F,24," 36¡15'30.87""N","119¡33'52.40""W",175,1.5,Orange,10/3/14,10/10/14
10/3/14 14:45,Drummond G,22," 36¡15'20.09""N","119¡33'49.22""W",175,1.5,Orange,10/3/14,10/10/14
10/3/14 14:30,Drummond H,20," 36¡15'21.98""N","119¡33'27.59""W",160,1,yellow,10/3/14,10/10/14
9/9/14 16:00,AKE B,21," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,9/9/14,9/16/14
9/9/14 15:00,AKE C1 & C2,25," 36¡ 9'4.67""N","119¡23'30.80""W",175,1.5,Orange,9/9/14,9/16/14
9/9/14 14:00,AKE C3 & C4,16," 36¡ 8'33.98""N","119¡23'32.49""W",160,1,yellow,9/9/14,9/16/14
4/29/14 14:50,AKE D,10," 36¡ 9'4.18""N","119¡23'59.47""W",155,0.5,green,4/29/14,5/6/14
9/3/14 15:15,Drummond H,22," 36¡15'21.98""N","119¡33'27.59""W",175,1.5,Orange,9/3/14,9/10/14
9/3/14 14:15,Drummond G,23," 36¡15'20.09""N","119¡33'49.22""W",175,1.5,Orange,9/3/14,9/10/14
9/3/14 13:45,Drummond F,23," 36¡15'30.87""N","119¡33'52.40""W",175,1.5,Orange,9/3/14,9/10/14
9/3/14 13:15,Drummond C & D,27," 36¡16'6.72""N","119¡33'52.17""W",185,2,Red,9/3/14,9/10/14
9/1/14 16:00,AKE C1 & C2,22," 36¡ 9'4.67""N","119¡23'30.80""W",175,1.5,Orange,9/1/14,9/8/14
9/1/14 16:00,AKE B,22," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,9/1/14,9/8/14
9/1/14 14:15,AKE C3 & C4,21," 36¡ 8'33.98""N","119¡23'32.49""W",175,1.5,Orange,9/1/14,9/8/14
5/12/14 13:20,AKE D,8," 36¡ 9'4.18""N","119¡23'59.47""W",155,0.5,green,5/12/14,5/19/14
8/28/14 15:15,Drummond H,18," 36¡15'21.98""N","119¡33'27.59""W",160,1,yellow,8/28/14,9/4/14
8/28/14 14:45,Drummond G,19," 36¡15'20.09""N","119¡33'49.22""W",160,1,yellow,8/28/14,9/4/14
8/28/14 14:20,Drummond E,17," 36¡15'38.58""N","119¡34'0.82""W",160,1,yellow,8/28/14,9/4/14
8/28/14 14:00,Drummond F,23," 36¡15'30.87""N","119¡33'52.40""W",175,1.5,Orange,8/28/14,9/4/14
8/28/14 13:30,Drummond C & D,21," 36¡16'6.72""N","119¡33'52.17""W",175,1.5,Orange,8/28/14,9/4/14
8/25/14 16:00,AKE B,21," 36¡ 8'35.28""N","119¡22'57.89""W",175,1.5,Orange,8/25/14,9/1/14
8/25/14 15:00,AKE C1 & C2,23," 36¡ 9'4.67""N","119¡23'30.80""W",175,1.5,Orange,8/25/14,9/1/14
8/25/14 14:00,AKE C3 & C4,25," 36¡ 8'33.98""N","119¡23'32.49""W",175,1.5,Orange,8/25/14,9/1/14
5/19/14 13:30,AKE D,8," 36¡ 9'4.18""N","119¡23'59.47""W",155,0.5,green,5/19/14,5/26/14
8/21/14 16:00,Drummond H,18," 36¡15'21.98""N","119¡33'27.59""W",160,1,yellow,8/21/14,8/28/14
8/21/14 14:45,Drummond G,21," 36¡15'20.09""N","119¡33'49.22""W",175,1.5,Orange,8/21/14,8/28/14
8/21/14 14:15,Drummond F,20," 36¡15'30.87""N","119¡33'52.40""W",175,1.5,Orange,8/21/14,8/28/14
8/21/14 13:45,Drummond E,18," 36¡15'38.58""N","119¡34'0.82""W",160,1,yellow,8/21/14,8/28/14
8/21/14 13:15,Drummond C & D,18," 36¡16'6.72""N","119¡33'52.17""W",160,1,yellow,8/21/14,8/28/14
8/18/14 17:00,AKE A,19," 36¡ 8'35.31""N","119¡22'27.07""W",160,1,yellow,8/18/14,8/25/14
8/18/14 16:00,AKE B,17," 36¡ 8'35.28""N","119¡22'57.89""W",160,1,yellow,8/18/14,8/25/14
8/18/14 15:00,AKE C1 & C2,25," 36¡ 9'4.67""N","119¡23'30.80""W",175,1.5,Orange,8/18/14,8/25/14
8/18/14 14:15,AKE C3 & C4,29," 36¡ 8'33.98""N","119¡23'32.49""W",185,2,Red,8/18/14,8/25/14
5/27/14 13:00,AKE D,12," 36¡ 9'4.18""N","119¡23'59.47""W",155,0.5,green,5/27/14,6/3/14
